Date,Confirmed,Deaths,Recovered
2020-03-01,1902.4285714286,43.0,1859.4285714286
2020-03-02,2206.5714285714,50.1428571429,2156.4285714286
2020-03-03,2575.8571428571,59.4285714286,2516.4285714286
2020-03-04,3034.7142857143,71.5714285714,2963.1428571429
2020-03-05,3619.0,86.2857142857,3532.7142857143
2020-03-06,4415.0,103.2857142857,4311.7142857143
2020-03-07,5491.0,123.7142857143,5367.2857142857
2020-03-08,6912.8571428571,149.5714285714,6763.2857142857
2020-03-09,8721.5714285714,182.7142857143,8538.8571428571
2020-03-10,10993.8571428571,224.4285714286,10769.4285714286
2020-03-11,13707.5714285714,271.7142857143,13435.8571428571
2020-03-12,16841.2857142857,329.7142857143,16511.5714285714
2020-03-13,20505.1428571429,403.5714285714,20101.5714285714
2020-03-14,24549.1428571429,490.7142857143,24058.4285714286
2020-03-15,28924.0,591.7142857143,28332.2857142857
2020-03-16,33503.2857142857,702.4285714286,32800.8571428571
2020-03-17,38265.8571428571,830.0,37435.8571428571
2020-03-18,43075.4285714286,969.4285714286,42106.0
2020-03-19,47794.4285714286,1113.4285714286,46681.0
2020-03-20,52439.8571428571,1274.5714285714,51165.2857142857
2020-03-21,56958.7142857143,1447.8571428571,55510.8571428571
2020-03-22,61394.1428571429,1637.2857142857,59756.8571428571
2020-03-23,65782.7142857143,1841.1428571429,63941.5714285714
2020-03-24,70062.2857142857,2053.7142857143,68008.5714285714
2020-03-25,74301.5714285714,2283.5714285714,72018.0
2020-03-26,78484.7142857143,2520.2857142857,75964.4285714286
2020-03-27,82580.5714285714,2765.2857142857,79815.2857142857
2020-03-28,86664.7142857143,3018.1428571429,83646.5714285714
2020-03-29,90732.2857142857,3278.5714285714,87453.7142857143
2020-03-30,94794.8571428571,3553.1428571429,91241.7142857143
2020-03-31,98846.7142857143,3839.8571428571,95006.8571428571
2020-04-01,102799.7142857143,4122.1428571429,98677.5714285714
2020-04-02,106698.2857142857,4408.0,102290.2857142857
2020-04-03,110474.4285714286,4691.4285714286,105783.0
2020-04-04,114176.8571428571,4974.0,109202.8571428571
2020-04-05,117736.4285714286,5251.4285714286,112485.0
2020-04-06,121161.0,5518.1428571429,115642.8571428571
2020-04-07,124328.4285714286,5764.4285714286,118564.0
2020-04-08,127361.8571428571,6001.2857142857,121360.5714285714
2020-04-09,130289.5714285714,6231.5714285714,124058.0
2020-04-10,132971.4285714286,6437.5714285714,126533.8571428571
2020-04-11,135455.4285714286,6628.2857142857,128827.1428571429
2020-04-12,137765.8571428571,6803.0,130962.8571428571
2020-04-13,139913.7142857143,6960.0,132953.7142857143
2020-04-14,142007.2857142857,7106.8571428571,134900.4285714286
2020-04-15,144005.5714285714,7244.0,136761.5714285714
2020-04-16,145917.4285714286,7373.4285714286,138544.0
2020-04-17,147805.8571428571,7502.1428571429,140303.7142857143
2020-04-18,149615.8571428571,7623.1428571429,141992.7142857143
2020-04-19,151349.8571428571,7734.2857142857,143615.5714285714
2020-04-20,153001.4285714286,7841.2857142857,145160.1428571429
2020-04-21,154548.2857142857,7939.5714285714,146608.7142857143
2020-04-22,156019.4285714286,8032.2857142857,147987.1428571429
2020-04-23,157418.1428571429,8115.5714285714,149302.5714285714
2020-04-24,158752.5714285714,8190.7142857143,150561.8571428571
2020-04-25,160025.1428571429,8260.7142857143,151764.4285714286
2020-04-26,161209.7142857143,8326.0,152883.7142857143
2020-04-27,162332.1428571429,8385.4285714286,153946.7142857143
2020-04-28,163370.7142857143,8440.4285714286,154930.2857142857
2020-04-29,164347.0,8490.1428571429,155856.8571428571
2020-04-30,165294.5714285714,8538.1428571429,156756.4285714286
2020-05-01,166193.4285714286,8582.8571428571,157610.5714285714
2020-05-02,167065.8571428571,8623.7142857143,158442.1428571429
2020-05-03,167913.1428571429,8659.5714285714,159253.5714285714
2020-05-04,168719.1428571429,8692.1428571429,160027.0
2020-05-05,169516.0,8724.2857142857,160791.7142857143
2020-05-06,170300.7142857143,8754.0,161546.7142857143
2020-05-07,171064.4285714286,8783.8571428571,162280.5714285714
2020-05-08,171806.7142857143,8810.7142857143,162996.0
2020-05-09,172512.5714285714,8834.5714285714,163678.0
2020-05-10,173188.8571428571,8858.4285714286,164330.4285714286
2020-05-11,173833.8571428571,8879.4285714286,164954.4285714286
2020-05-12,174469.2857142857,8899.8571428571,165569.4285714286
2020-05-13,175090.7142857143,8922.5714285714,166168.1428571429
2020-05-14,175704.7142857143,8943.5714285714,166761.1428571429
2020-05-15,176310.5714285714,8963.1428571429,167347.4285714286
2020-05-16,176900.8571428571,8982.0,167918.8571428571
2020-05-17,177491.0,9001.4285714286,168489.5714285714
2020-05-18,178049.5714285714,9019.4285714286,169030.1428571429
2020-05-19,178565.1428571429,9034.8571428571,169530.2857142857
2020-05-20,179058.5714285714,9048.4285714286,170010.1428571429
2020-05-21,179537.5714285714,9061.0,170476.5714285714
2020-05-22,179992.2857142857,9073.1428571429,170919.1428571429
2020-05-23,180451.4285714286,9085.5714285714,171365.8571428571
2020-05-24,180885.4285714286,9095.5714285714,171789.8571428571
2020-05-25,181323.5714285714,9106.0,172217.5714285714
2020-05-26,181753.8571428571,9115.2857142857,172638.5714285714
2020-05-27,182183.4285714286,9123.7142857143,173059.7142857143
2020-05-28,182602.0,9132.2857142857,173469.7142857143
2020-05-29,182989.7142857143,9140.4285714286,173849.2857142857
2020-05-30,183346.1428571429,9147.4285714286,174198.7142857143
2020-05-31,183693.1428571429,9153.2857142857,174539.8571428571
